iter,EE,Rsum,Ptot,cost,grad_theta_norm,grad_p_norm,penalty_power,penalty_qos_dl,penalty_qos_ul,mean_sinr_dl_db,mean_sinr_ul_db,mean_direct,mean_reflect,reflect_direct_ratio,active_bs_per_user,avg_ris_load,step_mu,accepted_ls_trials,phase_change_norm,power_change_norm
1,4172109.40864308,1310238367.4296,314.046981777434,191.655374448237,7.98691682360574e-08,1.95947711385807,14.5560907917589,91.044498241661,86.0965065089033,-26.5697939438782,-39.5407647441564,7.38347144891305e-13,5.66643590798013e-13,0.767448746458457,2,1,1,1,7.27785971515025e-09,0.0569272561021104
2,4208804.18368214,1333200845.70457,316.764759661067,199.569589491999,8.71392746359194e-08,1.9459452445817,14.5560907917589,94.6024635523257,90.4531231897508,-26.4903471602056,-39.5443380589838,7.3834714489129e-13,5.66643590784979e-13,0.76744874644082,2,1,1,1,7.82992562632538e-09,0.0552532507547755
3,4244525.2352552,1355676380.76841,319.39411491964,207.890732373814,9.49504468743959e-08,1.93296475909693,14.5560907917589,98.3422937673367,95.0347930670712,-26.4139287234417,-39.5478288385445,7.38347144891272e-13,5.66643590768705e-13,0.767448746418798,2,1,1,1,8.46126516274183e-09,0.0536408925833451
4,4279336.69348276,1377681155.58575,321.938013824408,216.660778377099,1.03067382560471e-07,1.9205125262319,14.5560907917589,102.294242596641,99.8532383556344,-26.3403537532384,-39.5512398843007,7.38347144891249e-13,5.66643590749299e-13,0.767448746392539,2,1,1,1,9.14402058185639e-09,0.0520882147004713
5,4313297.54064991,1399230801.92412,324.399322962842,225.924596370651,1.11327424884745e-07,1.90856635022263,14.5560907917589,106.490843331773,104.920795222525,-26.2694522969612,-39.554573897374,7.38347144891222e-13,5.66643590726865e-13,0.767448746362182,2,1,1,1,9.8577232845171e-09,0.0505933142706921
6,4346462.10751192,1420340419.41045,326.780812595996,235.728332091745,1.19618907805168e-07,1.89710493924387,14.5560907917589,110.96525985199,110.250446069072,-26.2010677951402,-39.5578334823441,7.38347144891191e-13,5.66643590701504e-13,0.767448746327866,2,1,1,1,1.05877227110592e-08,0.0491543499486716
7,4378880.51329682,1441024593.91139,329.085159902308,246.117022349019,1.27865188343277e-07,1.88610787442224,14.5560907917589,115.748866847503,115.85585351489,-26.1350557391497,-39.5610211508891,7.38347144891157e-13,5.66643590673316e-13,0.767448746289724,2,1,1,1,1.13236464018586e-08,0.0477695393878351
8,4410599.056721,1461297415.26146,331.314952111709,257.188873735609,1.36013608461697e-07,1.87635391987768,14.5560907917589,120.925492760065,121.751396174352,-26.071282492902,-39.5641393252778,7.38347144891119e-13,5.66643590642394e-13,0.767448746247884,2,1,1,1,1.20581782646086e-08,0.0464371568185088
9,4441674.80603018,1481182658.83681,333.473908721526,269.061222182548,1.44032608499103e-07,1.86934472584925,14.5560907917589,126.597338112203,127.952210026646,-26.0095930167964,-39.5671919171716,7.38347144891078e-13,5.66643590608829e-13,0.767448746202468,2,1,1,1,1.27861616012856e-08,0.0451801422831956
10,4472187.59464018,1500722863.58598,335.567959041915,281.580476738677,1.51911064448244e-07,1.86262019398057,14.5560907917589,132.594875432942,134.474232389922,-25.9497845699155,-39.5701857275461,7.38347144891033e-13,5.66643590572711e-13,0.767448746153597,2,1,1,1,1.35043773023418e-08,0.0440431471855065
11,4502169.77726261,1519928618.45167,337.599134117019,294.855522425235,1.59631809547554e-07,1.85714354752065,14.5560907917589,139.010227929333,141.334225401915,-25.8917612994284,-39.5731225841177,7.38347144890985e-13,5.66643590534118e-13,0.767448746101377,2,1,1,1,1.42114978715255e-08,0.042947751307719
12,4531668.16724066,1538822607.66205,339.570893294035,308.930960730472,1.67189075072195e-07,1.85327409408599,14.5560907917589,145.870351175494,148.549835444892,-25.8353970149166,-39.5760061772842,7.38347144890934e-13,5.66643590493127e-13,0.767448746045912,2,1,1,1,1.49057137141301e-08,0.0419227152610019
13,4560732.89751548,1557431753.88303,341.487166400703,323.727415821008,1.74583413885847e-07,1.84957172005329,14.5560907917589,153.077295098832,156.139637259393,-25.7805598609195,-39.5788408376312,7.3834714489088e-13,5.66643590449812e-13,0.767448745987303,2,1,1,1,1.55862832404872e-08,0.0409775025552059
14,4589387.25128613,1575764219.75458,343.349587532189,339.282826172384,1.81809776675724e-07,1.84602869786226,14.5560907917589,160.649456319281,164.123172933857,-25.7271787809334,-39.5816279799041,7.38347144890823e-13,5.6664359040424e-13,0.767448745925642,2,1,1,1,1.62530744692682e-08,0.0400660840600909
15,4617653.01177499,1593827924.97584,345.159742603351,355.637146694307,1.88865291566733e-07,1.84263766289695,14.5560907917589,168.606222385985,172.521010046681,-25.6751870476869,-39.5843689750139,7.38347144890763e-13,5.6664359035648e-13,0.767448745861018,2,1,1,1,1.6905483516024e-08,0.039187497391574
16,4645550.57607603,1611630553.61959,346.919170769397,372.83245499215,1.95748721344899e-07,1.83939159742876,14.5560907917589,176.96802404073,181.354795665421,-25.6245219301565,-39.5870651514635,7.38347144890701e-13,5.66643590306594e-13,0.767448745793519,2,1,1,1,1.75431275787593e-08,0.0383408027912025
17,4673099.05882896,1629179561.22194,348.62936580467,390.913063311802,2.02460062774615e-07,1.83628381512752,14.5560907917589,185.756390313902,190.647313196729,-25.5751243918959,-39.589717796722,7.38347144890636e-13,5.66643590254646e-13,0.767448745723229,2,1,1,1,1.81657912012132e-08,0.0375250822060594
18,4700316.38676852,1646482181.65502,350.291777440749,409.925636475429,2.090002475181e-07,1.83330794613609,14.5560907917589,194.994006609459,200.422542238079,-25.5269388172052,-39.5923281585524,7.38347144890568e-13,5.66643590200695e-13,0.76744874565023,2,1,1,1,1.87733873094699e-08,0.0367394384138833
19,4727219.38507282,1663545433.78911,351.907812665116,429.919316131646,2.15370916587664e-07,1.83045792270155,14.5560907917589,204.704775943896,210.705721589841,-25.4799127621079,-39.5948974462926,7.38347144890497e-13,5.66643590144803e-13,0.767448745574604,2,1,1,1,1.93659270646196e-08,0.0359829941948508
20,4753823.85633103,1680376127.95084,353.478836981508,450.945851660671,2.21574248637211e-07,1.82772796535552,14.5560907917589,214.913883512275,221.5234155952,-25.4339967274816,-39.5974268320924,7.38347144890424e-13,5.66643590087024e-13,0.767448745496425,2,1,1,1,1.99434970604263e-08,0.0352548915513499
21,4780144.652858,1696980872.18421,355.006175633117,473.05973809253,2.27612828111338e-07,1.82511256963343,14.5560907917589,225.647864763474,232.903583983825,-25.3891439520149,-39.5999174521071,7.38347144890349e-13,5.66643590027415e-13,0.767448745415771,2,1,1,1,2.05062414639741e-08,0.0345542909769615
22,4806195.74300209,1713366078.32038,356.491114789711,496.318361415423,2.33489543210998e-07,1.82260649332259,14.5560907917589,236.93467717636,244.875655404734,-25.3453102229434,-39.6023704076513,7.38347144890272e-13,5.66643589966029e-13,0.767448745332712,2,1,1,1,2.1054349531386e-08,0.0338803707756368
23,4831990.27202216,1729537967.86243,357.934902699758,520.782151671128,2.39207506384624e-07,1.8202047442275,14.5560907917589,248.803775938277,257.470604843813,-25.30245370276,-39.6047867663121,7.38347144890192e-13,5.6664358990292e-13,0.767448745247321,2,1,1,1,2.15880442783121e-08,0.033232326431862
24,4857540.61804689,1745502577.69083,359.338750808565,546.514744255025,2.44769991994235e-07,1.81790256843953,14.5560907917589,261.286193738168,270.721035131279,-25.2605347703051,-39.6071675630254,7.3834714489011e-13,5.66643589838137e-13,0.767448745159666,2,1,1,1,2.21075744205689e-08,0.0326093700323225
25,4882858.4435744,1761265765.59505,360.703834843458,573.5831498608,2.50180387190589e-07,1.81569543909879,14.5560907917589,274.414624897531,284.661262755946,-25.2195158748262,-39.6095138011145,7.38347144890026e-13,5.6664358977173e-13,0.767448745069813,2,1,1,1,2.26132083425378e-08,0.0320107297392466
26,4907954.74292434,1776833215.63726,362.031295866953,602.057933532564,2.55442153029481e-07,1.81357904563345,14.5560907917589,288.223514074211,299.327408214024,-25.1793614017534,-39.6118264532946,7.3834714488994e-13,5.66643589703746e-13,0.767448744977827,2,1,1,1,2.31052278716417e-08,0.0314356493153166
27,4932839.8860076,1792210443.35277,363.322241298875,632.01340331228,2.60558793588093e-07,1.81154928346358,14.5560907917589,302.749149786682,314.757491132699,-25.1400375490781,-39.6141064626431,7.38347144889851e-13,5.66643589634232e-13,0.76744874488377,2,1,1,1,2.35839257263348e-08,0.0308833876995929
28,4957523.65874552,1807402800.79269,364.577745908337,663.527808995898,2.65533831374513e-07,1.80960224415462,14.5560907917589,318.029763019398,330.991530421329,-25.1015122133441,-39.6163547435369,7.38347144889762e-13,5.66643589563233e-13,0.767448744787705,2,1,1,1,2.40495999701568e-08,0.0303532186335859
29,4982015.30043446,1822415481.41375,365.798852776471,696.68355153877,2.70370787719923e-07,1.80773420600575,14.5560907917589,334.105631183773,348.071649716242,-25.063754884365,-39.6185721825589,7.3834714488967e-13,5.66643589490793e-13,0.767448744689689,2,1,1,1,2.45025545492866e-08,0.0298444303361401
30,5006323.53832212,1837253524.81968,366.986574230765,731.567403680385,2.750731671395e-07,1.8059416250594,14.5560907917589,351.019187724113,366.042188399896,-25.0267365478778,-39.6207596393739,7.38347144889576e-13,5.66643589416954e-13,0.767448744589781,2,1,1,1,2.49430938747473e-08,0.0293563252254163
31,5030456.61963672,1851921821.35914,368.14189275185,768.270742387934,2.79644444871906e-07,1.80422112651631,14.5560907917589,368.815137673164,384.949818489208,-24.9904295954229,-39.6229179475757,7.3834714488948e-13,5.66643589341757e-13,0.767448744488036,2,1,1,1,2.5371523605995e-08,0.0288882196858623
32,5054422.3412855,1866425116.58443,369.265761853557,806.889793751085,2.84088056977357e-07,1.80256949654237,14.5560907917589,387.540579478366,404.843667704373,-24.9548077408168,-39.6250479155054,7.38347144889383e-13,5.66643589265242e-13,0.767448744384506,2,1,1,1,2.5788147551071e-08,0.02843944387765
33,5078228.07741962,1880768015.57557,370.359106937008,847.525890993248,2.88407392504678e-07,1.80098367445171,14.5560907917589,407.245133437288,425.775449044976,-24.9198459426438,-39.6271503270434,7.38347144889284e-13,5.66643589187448e-13,0.767448744279247,2,1,1,1,2.61932679321191e-08,0.0280093415857082
34,5101880.80504092,1894954987.13334,371.42282611954,890.285746301343,2.92605787338336e-07,1.79946074525314,14.5560907917589,427.98107709879,447.799597218845,-24.8855203322549,-39.6292259423752,7.38347144889184e-13,5.66643589108413e-13,0.767448744172307,2,1,1,1,2.65871832969201e-08,0.0275972701051255
35,5125387.12781336,1908990367.84597,372.457791039172,935.281737212315,2.96686519414598e-07,1.79799793254438,14.5560907917589,449.803488005773,470.973412286062,-24.8518081468084,-39.6312754987314,7.38347144889082e-13,5.66643589028172e-13,0.767448744063737,2,1,1,1,2.69701885796265e-08,0.0272026001594488
36,5148753.29822355,1922878366.0331,373.464847635357,982.632208335352,3.00652805057053e-07,1.79659259174102,14.5560907917589,472.770394175674,495.357210900901,-24.8186876669349,-39.6332997111039,7.38347144888978e-13,5.66643588946761e-13,0.767448743953584,2,1,1,1,2.73425745797108e-08,0.0268247158480936
37,5171985.23822309,1936623065.57068,374.444816906716,1032.46178922966,3.04507796229809e-07,1.79524220362637,14.5560907917589,496.942932736376,521.014485553907,-24.7861381586478,-39.6352992729392,7.38347144888873e-13,5.66643588864215e-13,0.767448743841895,2,1,1,1,2.77046271789654e-08,0.0264630146189485
38,5195088.55847299,1950228429.60069,375.39849564642,1084.90172930225,3.08254578544722e-07,1.79394436820887,14.5560907917589,522.385517157672,548.012072238401,-24.7541398191562,-39.6372748568077,7.38347144888767e-13,5.66643588780568e-13,0.767448743728715,2,1,1,1,2.80566271044769e-08,0.0261169072620894
39,5218068.57629963,1963698304.12907,376.326657155897,1140.09025063609,3.11896169889244e-07,1.79269679887417,14.5560907917589,549.166013542354,576.420326987739,-24.7226737262708,-39.6392271150528,7.38347144888659e-13,5.66643588695851e-13,0.767448743614088,2,1,1,1,2.83988494194958e-08,0.0257858179204598
40,5240930.33246197,1977036421.51538,377.230051937487,1198.172919708,3.1543551956571e-07,1.79149731681909,14.5560907917589,577.355926466213,606.313311753351,-24.6917217911184,-39.6411566804179,7.3834714488855e-13,5.66643588610095e-13,0.767448743498056,2,1,1,1,2.87315637508261e-08,0.0254691841133667
41,5263678.60682097,1990246403.85741,378.109408366678,1259.3030390074,3.18875507852327e-07,1.79034384575539,14.5560907917589,607.030594882642,637.768990119072,-24.6612667139107,-39.6430641666534,7.38347144888439e-13,5.66643588523332e-13,0.767448743380661,2,1,1,1,2.9055034281632e-08,0.0251664567686794
42,5286317.93299469,2003331766.27421,378.965433344515,1323.64205962063,3.22218945911866e-07,1.78923440687124,14.5560907917589,638.269398635551,670.869433372645,-24.6312919425326,-39.6449501691042,7.38347144888328e-13,5.66643588435591e-13,0.767448743261943,2,1,1,1,2.93695183664192e-08,0.0248771002597572
43,5308852.61207415,2016295920.09024,379.798812930782,1391.36001590358,3.25468575986779e-07,1.78816711403896,14.5560907917589,671.155976154059,705.701037483888,-24.6017816337371,-39.6468152652785,7.38347144888215e-13,5.666435883469e-13,0.76744874314194,2,1,1,1,2.96752687586458e-08,0.0246005924432685
44,5331286.72546996,2029142175.92395,380.610212958501,1462.63598342549,3.28627071829906e-07,1.78714016925825,14.5560907917589,705.778453933139,742.354751567851,-24.5727206167523,-39.6486600153974,7.38347144888101e-13,5.66643588257288e-13,0.76744874302069,2,1,1,1,2.99725315969744e-08,0.02433642469432
45,5353624.14695385,2041873746.68383,381.400279630319,1537.65856142906,3.31697039328406e-07,1.78615185832313,14.5560907917589,742.229688437583,780.926318441184,-24.5440943591247,-39.6504849629282,7.38347144887985e-13,5.66643588166782e-13,0.767448742898231,2,1,1,1,3.0261547237369e-08,0.0240841019355564
46,5375868.55395198,2054493750.47428,382.169640097311,1616.62638112132,3.34681017285569e-07,1.78520054670366,14.5560907917589,780.60752110115,821.516527913955,-24.5158889346331,-39.6522906350998,7.38347144887869e-13,5.66643588075407e-13,0.767448742774596,2,1,1,1,3.05425495549931e-08,0.0238431426571858
47,5398023.43814506,2067005213.4146,382.918903020712,1699.74864117824,3.3758147833091e-07,1.78428467563134,14.5560907917589,821.015047129129,864.231483491732,-24.4880909931275,-39.6540775434015,7.38347144887752e-13,5.66643587983191e-13,0.767448742649822,2,1,1,1,3.08157676494851e-08,0.0236130789252657
48,5420092.1154232,2079411072.37321,383.648659117087,1787.24567192106,3.40400829933743e-07,1.78340275837907,14.5560907917589,863.560898851306,909.182883199151,-24.460687732155,-39.6558461840666,7.38347144887633e-13,5.66643587890156e-13,0.767448742523941,2,1,1,1,3.10814235787614e-08,0.0233934563758835
49,5442077.73524204,2091714177.62033,384.35948168743,1879.34952970095,3.43141415499374e-07,1.78255337672628,14.5560907917589,908.359544412677,956.488315273862,-24.433666870247,-39.65759703854,7.38347144887513e-13,5.66643587796327e-13,0.767448742396986,2,1,1,1,3.13397348434558e-08,0.0231838341932737
50,5463983.2894199,2103917295.40084,385.051927130658,1976.3046231112,3.45805515530382e-07,1.78173517760067,14.5560907917589,955.531602632213,1006.27156952012,-24.4070166217546,-39.6593305739316,7.38347144887393e-13,5.66643587701728e-13,0.767448742268988,2,1,1,1,3.15909128938807e-08,0.0229837850702703
51,5485811.62041607,2116023110.43034,385.72653544196,2078.36837273255,3.48395348838202e-07,1.78094686988779,14.5560907917589,1005.20417490491,1058.66296515209,-24.3807256731242,-39.6610472434545,7.38347144887271e-13,5.6664358760638e-13,0.767448742139978,2,1,1,1,3.18351630561956e-08,0.0227928951498878
52,5507565.42912437,2128034228.31651,386.383830696468,2185.81190620931,3.50913073792542e-07,1.78018722140027,14.5560907917589,1057.51119507016,1113.79969600168,-24.3547831605174,-39.6627474868502,7.38347144887149e-13,5.66643587510307e-13,0.767448742009985,2,1,1,1,3.20726859812088e-08,0.0226107639471611
53,5529247.28221474,2139953177.90796,387.024321518643,2298.92079055159,3.53360789598123e-07,1.77945505599946,14.5560907917589,1112.59379821948,1171.82619401318,-24.3291786486845,-39.6644317307998,7.38347144887026e-13,5.66643587413529e-13,0.76744874187904,2,1,1,1,3.23036761524351e-08,0.022437004250748
54,5550859.61905352,2151782413.57302,387.648501537844,2417.99580365811,3.55740537589856e-07,1.77874925086121,14.5560907917589,1170.60070946948,1232.89451199306,-24.3039021110094,-39.6661003893226,7.38347144886901e-13,5.66643587316066e-13,0.767448741747167,2,1,1,1,3.25283241394507e-08,0.0222712420041283
55,5572404.75822917,2163524317.41024,388.256849830446,2543.35374716463,3.58054302538978e-07,1.77806873387944,14.5560907917589,1231.68865378197,1297.16472663848,-24.2789439106487,-39.6677538641618,7.38347144886776e-13,5.6664358721794e-13,0.767448741614398,2,1,1,1,3.27468135861168e-08,0.0221131161665177
56,5593884.90371011,2175181201.39303,388.849831348935,2675.32830283395,3.60304013963809e-07,1.77741248120023,14.5560907917589,1296.0227879716,1364.80536291963,-24.2542947826953,-39.6693925451587,7.3834714488665e-13,5.66643587119169e-13,0.767448741480756,2,1,1,1,3.29593244488656e-08,0.0219622785539204
57,5615302.15065768,2186755309.45009,389.427897338342,2814.27093482325,3.62491547439825e-07,1.77677951488025,14.5560907917589,1363.77715610348,1435.99384094951,-24.2299458173003,-39.6710168106143,7.38347144886524e-13,5.66643587019772e-13,0.767448741346266,2,1,1,1,3.31660310231823e-08,0.0218183936609766
58,5636658.49091667,2198248819.48386,389.991485740404,2960.55184028984,3.64618725904574e-07,1.77616890066298,14.5560907917589,1435.13516954887,1510.91694653412,-24.2058884436922,-39.6726270276407,7.38347144886396e-13,5.66643586919768e-13,0.767448741210956,2,1,1,1,3.33671032584726e-08,0.0216811384644782
59,5657955.81820428,2209663845.32885,390.541021585805,3114.56095092912,3.66687320953661e-07,1.77557974586694,14.5560907917589,1510.29011303533,1589.77132666021,-24.1821144150388,-39.6742235525002,7.38347144886268e-13,5.66643586819175e-13,0.767448741074848,2,1,1,1,3.35627058883979e-08,0.0215502022096143
60,5679195.93301457,2221002438.65113,391.076917374851,3276.70898817904,3.68699054124685e-07,1.77501119738091,14.5560907917589,1589.4456781012,1672.76401124541,-24.1586157940987,-39.6758067309351,7.38347144886139e-13,5.66643586718009e-13,0.767448740937965,2,1,1,1,3.37529994404798e-08,0.0214252861801425
61,5700380.5472589,2232266590.79174,391.599573446926,3447.42857496863,3.70655598166509e-07,1.77446243975954,14.5560907917589,1672.81652543989,1760.11296254245,-24.1353849396138,-39.6773768984864,7.3834714488601e-13,5.66643586616288e-13,0.767448740800331,2,1,1,1,3.39381401464341e-08,0.0213061034538458
62,5721511.28865561,2243458234.55458,392.109378339046,3627.17540704802,3.72558578291694e-07,1.77393269341544,14.5560907917589,1760.62887770147,1852.04765366767,-24.1124144933987,-39.6789343808031,7.38347144885879e-13,5.66643586514027e-13,0.767448740661968,2,1,1,1,3.41182788096423e-08,0.0211923786446525
63,5742589.70488703,2254579245.94162,392.606709133849,3816.42948709631,3.74409573410323e-07,1.77342121290202,14.5560907917589,1853.12114440236,1948.80967779924,-24.0896973680849,-39.6804794939412,7.38347144885748e-13,5.66643586411244e-13,0.767448740522896,2,1,1,1,3.42935634548313e-08,0.0210838476329207
64,5763617.26753504,2265631445.83574,393.091931797321,4015.69642497911,3.7621011734378e-07,1.77292728528321,14.5560907917589,1950.54458068647,2050.65338967355,-24.0672267354812,-39.6820125446542,7.38347144885617e-13,5.66643586307951e-13,0.767448740383136,2,1,1,1,3.44641365568225e-08,0.0209802572853965
65,5784595.37581114,2276616601.63411,393.565401506561,4225.50880770544,3.77961700017294e-07,1.77245022858499,14.5560907917589,2053.16398177197,2157.84658109547,-24.0449960155134,-39.6835338306744,7.38347144885484e-13,5.66643586204166e-13,0.767448740242709,2,1,1,1,3.46301374330409e-08,0.0208813651663596
66,5805525.36009098,2287536428.83239,394.027462967888,4446.42764282722,3.79665768630353e-07,1.77198939032477,14.5560907917589,2161.25841502242,2270.67119226665,-24.0229988657105,-39.6850436409851,7.38347144885351e-13,5.66643586099902e-13,0.767448740101634,2,1,1,1,3.47917008858472e-08,0.0207869392414729
67,5826408.48526646,2298392592.56221,394.478450725567,4679.04387922499,3.8132372880426e-07,1.77154414611483,14.5560907917589,2275.12199168119,2389.42406083689,-24.0012291712056,-39.6865422560845,7.38347144885218e-13,5.66643585995173e-13,0.76744873995993,2,1,1,1,3.49489587616222e-08,0.0206967575758133
68,5847245.95392457,2309186709.0825,394.918689461423,4923.98000943609,3.82936945706305e-07,1.77111389833597,14.5560907917589,2395.06468042365,2514.41771068022,-23.979681035222,-39.6880299482423,7.38347144885084e-13,5.66643585889992e-13,0.767448739817616,2,1,1,1,3.51020377795289e-08,0.0206106080275192
69,5868038.90936453,2319920347.22681,395.348494285638,5181.89175790288,3.84506745150172e-07,1.7706980748774,14.5560907917589,2521.41316499446,2645.98118250575,-23.9583487700174,-39.6895069817471,7.38347144884949e-13,5.66643585784375e-13,0.76744873967471,2,1,1,1,3.52510620918058e-08,0.020528287938445
70,5888788.43846091,2330595029.80727,395.768171018959,5453.46985975841,3.86034414672331e-07,1.77029612794006,14.5560907917589,2654.5117483249,2784.46090852614,-23.9372268882602,-39.6909736131469,7.38347144884814e-13,5.66643585678331e-13,0.767448739531228,2,1,1,1,3.53961520977308e-08,0.0204496038231053
71,5909495.57438274,2341212234.97705,396.178016466591,5739.44193501062,3.87521204584286e-07,1.76990753289965,14.5560907917589,2794.72330565085,2930.22163352375,-23.9163100948147,-39.6924300914824,7.38347144884678e-13,5.66643585571875e-13,0.767448739387187,2,1,1,1,3.55374242298895e-08,0.0203743710571686
72,5930161.29917584,2351773397.55218,396.578318684016,6040.57446324993,3.88968329000642e-07,1.76953178722639,14.5560907917589,2942.43028929285,3083.64738477832,-23.8955932789116,-39.6938766585127,7.38347144884542e-13,5.66643585465018e-13,0.767448739242603,2,1,1,1,3.56749922021578e-08,0.0203024135666242
73,5950786.54621637,2362279910.29402,396.96935723497,6357.67486428322,3.90376966843026e-07,1.76916840945898,14.5560907917589,3098.03578790218,3245.14249345475,-23.8750715066843,-39.695313548934,7.38347144884406e-13,5.66643585357772e-13,0.767448739097495,2,1,1,1,3.58089663068595e-08,0.0202335635186995
74,5971372.20254299,2372733125.1539,397.351403441816,6691.59369038101,3.91748262819994e-07,1.76881693822917,14.5560907917589,3261.96464312942,3415.13267018186,-23.8547400140497,-39.6967409905921,7.38347144884268e-13,5.66643585250149e-13,0.767448738951875,2,1,1,1,3.59394529906192e-08,0.0201676610154922
75,5991919.11107333,2383134354.48042,397.724720628535,7043.22693613912,3.93083328383088e-07,1.76847693133526,14.5560907917589,3434.66462683455,3594.06613770392,-23.8345941999165,-39.6981592046879,7.38347144884131e-13,5.66643585142159e-13,0.767448738805758,2,1,1,1,3.60665566069959e-08,0.0201045537911865
76,6012428.07271229,2393484872.19115,398.089564356554,7413.51847227252,3.94383242659274e-07,1.76814796486137,14.5560907917589,3616.607682124,3782.41482363748,-23.8146296197032,-39.699568405977,7.38347144883993e-13,5.66643585033813e-13,0.76744873865916,2,1,1,1,3.61903779998347e-08,0.0200440969136618
77,6032899.84835696,2403785914.90939,398.446182653613,7803.46261000136,3.95649053360029e-07,1.76782963234024,14.5560907917589,3808.2912316826,3980.67561652548,-23.7948419791486,-39.7009688029629,7.38347144883854e-13,5.66643584925121e-13,0.767448738512095,2,1,1,1,3.63110148996586e-08,0.0199861524911829
78,6053335.1608044,2414038683.06728,398.794816235897,8214.10680304971,3.96881777667388e-07,1.76752154395763,14.5560907917589,4010.23955705277,4189.37168855679,-23.7752271284013,-39.7023605980846,7.38347144883715e-13,5.66643584816094e-13,0.767448738364575,2,1,1,1,3.64285626411826e-08,0.0199305893847807
79,6073734.69656703,2424244341.97608,399.135698723604,8646.55449464997,3.98082403097277e-07,1.76722332579571,14.5560907917589,4223.00525271543,4409.05388848975,-23.7557810563726,-39.703743987898,7.38347144883576e-13,5.66643584706741e-13,0.767448738216616,2,1,1,1,3.65431134358739e-08,0.0198772829268702
80,6094099.10760076,2434404022.86473,399.469056850169,9101.9681173498,3.99251888340502e-07,1.76693461911374,14.5560907917589,4447.17075903498,4640.30220851414,-23.7364998853394,-39.7051191632524,7.38347144883436e-13,5.66643584597072e-13,0.767448738068228,2,1,1,1,3.665475686089e-08,0.0198261146465468
81,6114429.01295014,2444518823.88761,399.795110665314,9581.57225383468,4.00391164081767e-07,1.76665507966412,14.5560907917589,4683.34997835131,4883.72732898174,-23.717379865785,-39.7064863094609,7.38347144883296e-13,5.66643584487096e-13,0.767448737919424,2,1,1,1,3.67635803397499e-08,0.0197769720019435
82,6134725.00031536,2454589811.10238,400.114073732107,9996.27948893004,4.01501133797123e-07,1.76638437704175,14.5560907917589,4863.45924527964,5118.32550010865,-23.6984173714654,-39.7078456064665,7.38347144883156e-13,5.66643584376822e-13,0.767448737770217,2,1,1,1,3.6869667843837e-08,0.0197297481199628
83,6154987.6275441,2464618019.41871,400.426153318219,10295.9044831455,4.0258267453025e-07,1.76612219406545,14.5560907917589,4940.83801372794,5340.5719285021,-23.6796088946899,-39.7091972290024,7.38347144883015e-13,5.66643584266259e-13,0.76744873762062,2,1,1,1,3.69731015767671e-08,0.0196843415436129
84,6175217.42405335,2474604453.51902,400.731550581536,10538.6340664891,4.03636637648004e-07,1.76586822618919,14.5560907917589,4998.36881449209,5525.77091337953,-23.6609510418054,-39.7105413467476,7.38347144882874e-13,5.66643584155414e-13,0.767448737470641,2,1,1,1,3.70739614365779e-08,0.0196406559871591
85,6195414.89218421,2484550088.75193,401.030460750304,10745.7199200107,4.04663849575638e-07,1.76562218094193,14.5560907917589,5041.55347338084,5689.67230998701,-23.6424405288744,-39.7118781244781,7.38347144882732e-13,5.66643584044297e-13,0.767448737320294,2,1,1,1,3.71723245138274e-08,0.0195986000991911
