iter,EE,Rsum,Ptot,cost,grad_theta_norm,grad_p_norm,penalty_power,penalty_qos_dl,penalty_qos_ul,mean_sinr_dl_db,mean_sinr_ul_db,mean_direct,mean_reflect,reflect_direct_ratio,active_bs_per_user,avg_ris_load,step_mu,accepted_ls_trials,phase_change_norm,power_change_norm
1,12841574.6991339,4079799061.44205,317.702396865489,187.605226074296,8.45108696674648e-08,1.91944241479707,14.5560907917589,92.6066749804698,80.5708760490591,-21.3450246783803,-36.6385979368313,3.27298424229275e-12,9.34763627653449e-16,0.000285599794699482,2,1,1,1,6.97872413420704e-09,0.0555591144824987
2,12863904.5834133,4119618591.34751,320.246357910594,195.830149342733,8.53031008227565e-08,1.91002455028212,14.5560907917589,96.7638608232695,84.6388367735389,-21.2994768424146,-36.6421044848156,3.27298424231447e-12,9.3476362762111e-16,0.000285599794687707,2,1,1,1,7.02867147407397e-09,0.054116920260399
3,12887665.6044773,4159029409.57059,322.713945039488,204.468342860274,8.6197480990216e-08,1.90099101256815,14.5560907917589,101.121370332591,88.9197583919686,-21.2547977429045,-36.6455325117059,3.27298424233604e-12,9.34763627589595e-16,0.000285599794676195,2,1,1,1,7.08884520286103e-09,0.052726754397591
4,12912782.4708136,4198043209.17677,325.107560563767,213.548797805504,8.71806622179209e-08,1.89232539014785,14.5560907917589,105.696946713059,93.4248881253937,-21.2109539750142,-36.6488845072894,3.27298424235749e-12,9.34763627558868e-16,0.000285599794664935,2,1,1,1,7.15802690236217e-09,0.0513870594824198
5,12939185.0931444,4236671307.56812,327.429531077103,223.102475259399,8.82403395305369e-08,1.88401195750452,14.5560907917589,110.509705729712,98.1660705888599,-21.1679138423304,-36.6521628775162,3.27298424237881e-12,9.34763627528895e-16,0.000285599794653917,2,1,1,1,7.23507722938624e-09,0.0500963223115237
6,12966808.1197376,4274924658.88422,329.682109846068,233.162197006018,8.93652586159192e-08,1.87603565061115,14.5560907917589,115.579994633628,103.155779661828,-21.1256472493877,-36.6553699474956,3.27298424240002e-12,9.34763627499645e-16,0.000285599794643129,2,1,1,1,7.31894091832391e-09,0.048853072066718
7,12995590.5210972,4312813865.97982,331.867479125195,243.762412181667,9.05451974191329e-08,1.86838204287086,14.5560907917589,120.929125230562,108.407152064557,-21.0841256023526,-36.6585079643746,3.27298424242114e-12,9.34763627471085e-16,0.000285599794632561,2,1,1,1,7.40864938773629e-09,0.0476558785512267
8,13025475.2180262,4350349191.99375,333.987752398716,254.938828081968,9.17709282857241e-08,1.8610373215295,14.5560907917589,126.578969310391,113.934022731998,-21.0433217171332,-36.6615791001048,3.27298424244215e-12,9.34763627443185e-16,0.000285599794622203,2,1,1,1,7.50331924391597e-09,0.0465033504867291
9,13056408.7478778,4387540571.5247,336.044976551295,266.727941004497,9.30341665107936e-08,1.85398826458672,14.5560907917589,132.551452218558,119.75096208166,-21.0032097342604,-36.6645854541017,3.27298424246308e-12,9.34763627415916e-16,0.000285599794612045,2,1,1,1,7.60215013349566e-09,0.0453941338728994
10,13088340.9645043,4424397621.42729,338.04113397002,279.166564735421,9.43275102061129e-08,1.84722221822977,14.5560907917589,138.868042076143,125.873315277164,-20.9637650399508,-36.6675290558015,3.27298424248394e-12,9.34763627389247e-16,0.000285599794602077,2,1,1,1,7.70442178090398e-09,0.0443269104112475
11,13121224.7680072,4460929651.24243,339.978144579862,292.291497392621,9.56443754316117e-08,1.84072707481035,14.5560907917589,145.549375253851,132.317243594691,-20.9249641928215,-36.6704118671199,3.27298424250472e-12,9.34763627363153e-16,0.000285599794592291,2,1,1,1,7.80948814201674e-09,0.0433003959952363
12,13155015.8608971,4497145673.27481,341.857867814698,306.298043062375,9.69789296367048e-08,1.83663527419901,14.5560907917589,152.773734424123,139.099768005102,-20.8867848557798,-36.6732357848174,3.27298424252545e-12,9.34763627337606e-16,0.000285599794582677,2,1,1,1,7.91677320091664e-09,0.0423133392686925
13,13189690.5990075,4533102005.27386,343.68524198854,321.045770577545,9.83280966126669e-08,1.8328378413277,14.5560907917589,160.382748877698,146.238827814078,-20.849156438729,-36.6760068814686,3.27298424254612e-12,9.3476362731258e-16,0.000285599794573227,2,1,1,1,8.02576550256634e-09,0.0414302543752344
14,13225210.8148483,4568807817.29792,345.462002932188,336.564394973628,9.96875421391669e-08,1.82920006428459,14.5560907917589,168.387250825778,153.75330546424,-20.8120589857261,-36.6787269432385,3.27298424256674e-12,9.3476362728805e-16,0.000285599794563933,2,1,1,1,8.13618201354664e-09,0.0405841503219682
15,13261539.4907291,4604269253.11033,347.189649914256,352.895745842898,1.01053338930335e-07,1.82571468539461,14.5560907917589,176.809182683183,161.663087762863,-20.775476250737,-36.6813974526847,3.27298424258732e-12,9.34763627263994e-16,0.000285599794554787,2,1,1,1,8.24764003443367e-09,0.0397700636456896
16,13298641.5923619,4639492274.20181,348.86963769792,370.083895488633,1.02422033130868e-07,1.82237478551958,14.5560907917589,185.671670830606,169.989120282191,-20.7393926751023,-36.6840198462381,3.27298424260787e-12,9.34763627240388e-16,0.000285599794545782,2,1,1,1,8.35979395201531e-09,0.0389870328056881
17,13336483.9273698,4674482665.35846,350.503377862981,388.175275169114,1.03790597529393e-07,1.81917376897937,14.5560907917589,194.999085270885,178.753463945744,-20.7037933519324,-36.6865955157099,3.27298424262839e-12,9.3476362721721e-16,0.000285599794536909,2,1,1,1,8.47233805850353e-09,0.0382341167229099
18,13375035.016024,4709246040.0554,352.092240088602,407.218797799394,1.05156388276167e-07,1.81610534902728,14.5560907917589,204.817102709583,187.979354648212,-20.6686639927027,-36.6891258097462,3.27298424264889e-12,9.34763627194441e-16,0.000285599794528164,2,1,1,1,8.58500444638454e-09,0.0375103940820068
19,13414264.9729977,4743787845.68204,353.637553397899,427.265987478866,1.06517105147986e-07,1.81316353387137,14.5560907917589,215.152773265135,197.691266071702,-20.6339908958899,-36.6916120352303,3.27298424266938e-12,9.34763627172057e-16,0.000285599794519537,2,1,1,1,8.69755807247919e-09,0.0368149626939895
20,13454145.3990544,4778113368.60413,355.140607365514,448.371116229819,1.0787075529268e-07,1.81034261323378,14.5560907917589,226.034591021687,207.914975870364,-20.599760917501,-36.6940554586376,3.27298424268986e-12,9.3476362715004e-16,0.000285599794511023,2,1,1,1,8.80979470047936e-09,0.0361469389193166
21,13494649.2817162,4812227739.06834,356.602653289285,470.591348349139,1.09215620311213e-07,1.80763714543682,14.5560907917589,237.492568646098,218.6776354041,-20.5659614433628,-36.696457307342,3.27298424271033e-12,9.3476362712837e-16,0.000285599794502616,2,1,1,1,8.92153599272399e-09,0.0355054571508895
22,13535750.9040513,4846135935.95369,358.024905327065,493.986892794683,1.10550226488476e-07,1.80504194500662,14.5560907917589,249.558316299275,230.007843212689,-20.532580363047,-36.6988187708777,3.27298424273081e-12,9.34763627107027e-16,0.000285599794494308,2,1,1,1,9.03262875428187e-09,0.0348896693558981
23,13577425.7608212,4879842791.37566,359.408541599754,518.621164046381,1.11873317957313e-07,1.80255207078069,14.5560907917589,262.265125081434,241.935722430796,-20.4996060453182,-36.7011410021578,3.27298424275129e-12,9.34763627085994e-16,0.000285599794486095,2,1,1,1,9.14293975829812e-09,0.0342987446751036
